Source,Meand13C,SDd13C,Meand15N,SDd15N
Surface POM,0.39,0.5,3.4,0.5
Subsurface POM,0.39,0.5,3.4,0.5
Terrestrial Detritus,0.39,0.5,3.4,0.5
